description,reaction,T,I,pH,pMg,standard_dg_prime,stderr,n,SEM,nontrans_standard_dg_prime,nontrans_stderr
2'-deoxyinosine(aq) + adenine(aq) = 2'-deoxyadenosine(aq) + hypoxanthine(aq),[H]OC([H])([H])[C@@]1([H])O[C@@]([H])(n2c([H])nc3c(=O)n([H])c([H])nc32)C([H])([H])[C@]1([H])O[H] + [H]c1nc(N([H])[H])c2nc([H])n([H])c2n1 = [H]OC([H])([H])[C@@]1([H])O[C@@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)C([H])([H])[C@]1([H])O[H] + [H]c1nc2c(nc([H])n2[H])c(=O)n1[H],298.15,0.25,7.0,14.0,-0.8893926230748022,,1,,-0.8755937942618217,
UDPglucose(aq) + D-fructose(aq) = UDP(aq) + sucrose(aq),[H]OC([H])([H])[C@@]1([H])O[C@]([H])(OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])[C@@]2([H])O[C@@]([H])(n3c([H])c([H])c(=O)n([H])c3=O)[C@]([H])(O[H])[C@]2([H])O[H])[C@]([H])(O[H])[C@@]([H])(O[H])[C@]1([H])O[H] + [H]OC([H])([H])C1(O[H])O[C@]([H])(C([H])([H])O[H])[C@@]([H])(O[H])[C@]1([H])O[H] = [H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])c([H])c(=O)n([H])c2=O)O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])O[H] + [H]OC([H])([H])[C@@]1(O[C@@]2([H])O[C@]([H])(C([H])([H])O[H])[C@@]([H])(O[H])[C@]([H])(O[H])[C@@]2([H])O[H])O[C@]([H])(C([H])([H])O[H])[C@@]([H])(O[H])[C@]1([H])O[H],298.15,0.25,7.0,14.0,-2.421920205721047,1.8653665772230583,7,0.7050422953291392,-4.639040714592296,4.4064463699850185
ATP(aq) + formate(aq) + tetrahydrofolate(aq) = ADP(aq) + phosphate(aq) + 10-formyltetrahydrofolate(aq),[H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OP(=O)(O[H])O[H] + [H]OC([H])=O + [H]OC(=O)C([H])([H])C([H])([H])[C@@]([H])(C(=O)O[H])N([H])C(=O)c1c([H])c([H])c(N([H])C([H])([H])[C@]2([H])N([H])c3c(nc(N([H])[H])n([H])c3=O)N([H])C2([H])[H])c([H])c1[H] = [H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])O[H] + [H]OP(=O)(O[H])O[H] + [H]OC(=O)C([H])([H])C([H])([H])[C@@]([H])(C(=O)O[H])N([H])C(=O)c1c([H])c([H])c(N(C([H])=O)C([H])([H])[C@]2([H])N([H])c3c(nc(N([H])[H])n([H])c3=O)N([H])C2([H])[H])c([H])c1[H],298.15,0.25,7.0,14.0,-11.17476056014668,,1,,-9.571161968618114,
2-propanol(aq) + NADP(ox)(aq) = acetone(aq) + NADP(red)(aq),[H]OC([H])(C([H])([H])[H])C([H])([H])[H] + [H]O[C@@]1([H])[C@@]([H])(OP(=O)(O[H])O[H])[C@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])[C@@]1([H])O[C@@]([H])([n+]2c([H])c([H])c([H])c(C(=O)N([H])[H])c2[H])[C@]([H])(O[H])[C@]1([H])O[H] = [H]C([H])([H])C(=O)C([H])([H])[H] + [H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(N2C([H])=C([H])C([H])([H])C(C(=O)N([H])[H])=C2[H])O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])[C@@]1([H])O[C@@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)[C@]([H])(OP(=O)(O[H])O[H])[C@]1([H])O[H] + [H+],298.15,0.25,7.0,14.0,7.108898969891059,1.2311780993133612,63,0.1551138604958255,7.782182213285442,4.301453935808623
1-butanol(aq) + NAD(aq) = butanal(aq) + NADH(aq),[H]OC([H])([H])C([H])([H])C([H])([H])C([H])([H])[H] + [H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])[C@@]1([H])O[C@@]([H])([n+]2c([H])c([H])c([H])c(C(=O)N([H])[H])c2[H])[C@]([H])(O[H])[C@]1([H])O[H] = [H]C(=O)C([H])([H])C([H])([H])C([H])([H])[H] + [H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(N2C([H])=C([H])C([H])([H])C(C(=O)N([H])[H])=C2[H])O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])[C@@]1([H])O[C@@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)[C@]([H])(O[H])[C@]1([H])O[H] + [H+],298.15,0.25,7.0,14.0,23.07267211647823,,1,,15.658521717412922,
2-methylserine(aq) = D-alanine(aq) + formaldehyde(aq),[H]OC(=O)[C@@](N([H])[H])(C([H])([H])[H])C([H])([H])O[H] = [H]OC(=O)[C@]([H])(N([H])[H])C([H])([H])[H] + [H]C([H])=O,298.15,0.25,7.0,14.0,21.22813801587161,,1,,21.24656854699207,
-D-galactose 1-phosphate(aq) =-D-glucose 1-phosphate(aq),[H]OC([H])([H])[C@@]1([H])OC([H])(OP(=O)(O[H])O[H])[C@]([H])(O[H])[C@@]([H])(O[H])[C@@]1([H])O[H] = [H]OC([H])([H])[C@@]1([H])O[C@]([H])(OP(=O)(O[H])O[H])[C@]([H])(O[H])[C@@]([H])(O[H])[C@]1([H])O[H],298.15,0.25,7.0,14.0,-2.7949866645804136,0.0632508105115892,3,0.036517872475328,-2.7949866645804136,0.0632508105115892
ATP(aq) + dGMP(aq) = ADP(aq) + dGDP(aq),[H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OP(=O)(O[H])O[H] + [H]O[C@@]1([H])C([H])([H])[C@]([H])(n2c([H])nc3c(=O)n([H])c(N([H])[H])nc32)O[C@]1([H])C([H])([H])OP(=O)(O[H])O[H] = [H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])O[H] + [H]O[C@@]1([H])C([H])([H])[C@]([H])(n2c([H])nc3c(=O)n([H])c(N([H])[H])nc32)O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])O[H],298.15,0.25,7.0,14.0,1.2941207175076062,,1,,3.280873629176479,
ethanol(aq) + NAD(aq) = acetaldehyde(aq) + NADH(aq),[H]OC([H])([H])C([H])([H])[H] + [H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])[C@@]1([H])O[C@@]([H])([n+]2c([H])c([H])c([H])c(C(=O)N([H])[H])c2[H])[C@]([H])(O[H])[C@]1([H])O[H] = [H]C(=O)C([H])([H])[H] + [H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(N2C([H])=C([H])C([H])([H])C(C(=O)N([H])[H])=C2[H])O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])[C@@]1([H])O[C@@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)[C@]([H])(O[H])[C@]1([H])O[H] + [H+],298.15,0.25,7.0,14.0,21.11026466181588,5.094945199532946,80,0.5696321903895948,15.842328378718516,8.665077465443536
L-arabinose(aq) = L-ribulose(aq),[H]OC1([H])OC([H])([H])[C@]([H])(O[H])[C@]([H])(O[H])[C@@]1([H])O[H] = [H]OC([H])([H])C1(O[H])OC([H])([H])[C@]([H])(O[H])[C@]1([H])O[H],298.15,0.25,7.0,14.0,4.897748295537864,0.5068564584689695,3,0.2926337127375599,4.897696941287399,0.5069066021603628
ATP(aq) + 1-phosphatidyl-1D-myo-inositol(aq) = ADP(aq) + 1-phosphatidyl-1D-myo-inositol 4-phosphate(aq),[H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OP(=O)(O[H])O[H] + *C(=O)OC([H])([H])C([H])(OC(*)=O)C([H])([H])OP(=O)(O[H])O[C@@]1([H])[C@]([H])(O[H])[C@@]([H])(O[H])[C@]([H])(O[H])[C@@]([H])(O[H])[C@@]1([H])O[H] = [H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])O[H] + *C(=O)OC([H])([H])[C@@]([H])(OC(*)=O)C([H])([H])OP(=O)(O[H])O[C@]1([H])[C@]([H])(O[H])[C@]([H])(O[H])[C@@]([H])(OP(=O)(O[H])O[H])[C@]([H])(O[H])[C@@]1([H])O[H],298.15,0.25,7.0,14.0,8.359294575749228,,1,,14.634256506338826,
UDPglucose(aq) + sinapate(aq) = UDP(aq) + 1-sinapoyl-D-glucose(aq),[H]OC([H])([H])[C@@]1([H])O[C@]([H])(OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])[C@@]2([H])O[C@@]([H])(n3c([H])c([H])c(=O)n([H])c3=O)[C@]([H])(O[H])[C@]2([H])O[H])[C@]([H])(O[H])[C@@]([H])(O[H])[C@]1([H])O[H] + [H]OC(=O)/C([H])=C(\[H])c1c([H])c(OC([H])([H])[H])c(O[H])c(OC([H])([H])[H])c1[H] = [H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])c([H])c(=O)n([H])c2=O)O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])O[H] + [H]Oc1c(OC([H])([H])[H])c([H])c(/C([H])=C(\[H])C(=O)O[C@]2([H])O[C@]([H])(C([H])([H])O[H])[C@@]([H])(O[H])[C@]([H])(O[H])[C@@]2([H])O[H])c([H])c1OC([H])([H])[H],298.15,0.25,7.0,14.0,8.728566327273477,,1,,3.931547132206268,
meso-tartrate(aq) + NAD(aq) = 2-oxo-3-hydroxysuccinate(aq) + NADH(aq),[H]OC(=O)[C@]([H])(O[H])[C@]([H])(O[H])C(=O)O[H] + [H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])[C@@]1([H])O[C@@]([H])([n+]2c([H])c([H])c([H])c(C(=O)N([H])[H])c2[H])[C@]([H])(O[H])[C@]1([H])O[H] = [H]OC(=O)C(=O)C([H])(O[H])C(=O)O[H] + [H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(N2C([H])=C([H])C([H])([H])C(C(=O)N([H])[H])=C2[H])O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])[C@@]1([H])O[C@@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)[C@]([H])(O[H])[C@]1([H])O[H] + [H+],298.15,0.25,7.0,14.0,39.39425416816913,,1,,33.67680869340187,
"5,10-methylenetetrahydrofolate(aq) + NAD(aq) = 5,10-methenyltetrahydrofolate(aq) + NADH(aq)",[H]OC(=O)C([H])([H])C([H])([H])C([H])(C(=O)O[H])N([H])C(=O)c1c([H])c([H])c(N2C([H])([H])N3c4c(nc(N([H])[H])n([H])c4=O)N([H])C([H])([H])[C@]3([H])C2([H])[H])c([H])c1[H] + [H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])[C@@]1([H])O[C@@]([H])([n+]2c([H])c([H])c([H])c(C(=O)N([H])[H])c2[H])[C@]([H])(O[H])[C@]1([H])O[H] = [H]OC(=O)C([H])([H])C([H])([H])[C@@]([H])(C(=O)O[H])N([H])C(=O)c1c([H])c([H])c(N2C([H])=[N+]3c4c(nc(N([H])[H])n([H])c4=O)N([H])C([H])([H])C3([H])C2([H])[H])c([H])c1[H] + [H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(N2C([H])=C([H])C([H])([H])C(C(=O)N([H])[H])=C2[H])O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])[C@@]1([H])O[C@@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)[C@]([H])(O[H])[C@]1([H])O[H],298.15,0.25,7.0,14.0,7.237642933105001,7.762857813206717,3,4.481888048135688,7.218728432329417,7.744220117631857
"5,10-methylenetetrahydrofolate(aq) + NADP(ox)(aq) = 10-formyltetrahydrofolate(aq) + NADP(red)(aq)",[H]OC(=O)C([H])([H])C([H])([H])C([H])(C(=O)O[H])N([H])C(=O)c1c([H])c([H])c(N2C([H])([H])N3c4c(nc(N([H])[H])n([H])c4=O)N([H])C([H])([H])[C@]3([H])C2([H])[H])c([H])c1[H] + [H]O[C@@]1([H])[C@@]([H])(OP(=O)(O[H])O[H])[C@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])[C@@]1([H])O[C@@]([H])([n+]2c([H])c([H])c([H])c(C(=O)N([H])[H])c2[H])[C@]([H])(O[H])[C@]1([H])O[H] + [H]O[H] = [H]OC(=O)C([H])([H])C([H])([H])[C@@]([H])(C(=O)O[H])N([H])C(=O)c1c([H])c([H])c(N(C([H])=O)C([H])([H])[C@]2([H])N([H])c3c(nc(N([H])[H])n([H])c3=O)N([H])C2([H])[H])c([H])c1[H] + [H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(N2C([H])=C([H])C([H])([H])C(C(=O)N([H])[H])=C2[H])O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])[C@@]1([H])O[C@@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)[C@]([H])(OP(=O)(O[H])O[H])[C@]1([H])O[H] + [H+],298.15,0.25,7.0,14.0,-4.54854988202527,,1,,-6.984640353231484,
ATP(aq) + sulfate(aq) + H2O(l) = 2 orthophosphate(aq) + adenosine 5'-phosphosulfate(aq),[H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OP(=O)(O[H])O[H] + [H]OS(=O)(=O)O[H] + [H]O[H] = 2.0 [H]OP(=O)(O[H])O[H] + [H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])OP(=O)(O[H])OS(=O)(=O)O[H],298.15,0.25,7.0,14.0,35.366880096586414,,1,,36.090569440114606,
ATP(aq) + taurocyamine(aq) = ADP(aq) + N-w-phosphotaurocyamine(aq),[H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OP(=O)(O[H])O[H] + [H]N=C(N([H])[H])N([H])C([H])([H])C([H])([H])S(=O)(=O)O[H] = [H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])O[H] + [H]N=C(N([H])C([H])([H])C([H])([H])S(=O)(=O)O[H])N([H])P(=O)(O[H])O[H],298.15,0.25,7.0,14.0,-2.230231479888608,6.476859409908248,2,4.579831209538023,-3.511676620452284,7.22811204858915
2'-deoxyinosine(aq) + orthophosphate(aq) = hypoxanthine(aq) + 2-deoxy--D-ribose 1-phosphate(aq),[H]OC([H])([H])[C@@]1([H])O[C@@]([H])(n2c([H])nc3c(=O)n([H])c([H])nc32)C([H])([H])[C@]1([H])O[H] + [H]OP(=O)(O[H])O[H] = [H]c1nc2c(nc([H])n2[H])c(=O)n1[H] + [H]OC([H])([H])[C@@]1([H])O[C@]([H])(OP(=O)(O[H])O[H])C([H])([H])[C@]1([H])O[H],298.15,0.25,7.0,14.0,9.92823340119996,0.6162235653601379,3,0.3557768413416666,9.536993130470902,0.4324743863606572
L-leucine(aq) + NAD(aq) + H2O(l) = 4-methyl-2-oxopentanoate(aq) + NADH(aq) + ammonia(aq),[H]OC(=O)[C@@]([H])(N([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H] + [H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])[C@@]1([H])O[C@@]([H])([n+]2c([H])c([H])c([H])c(C(=O)N([H])[H])c2[H])[C@]([H])(O[H])[C@]1([H])O[H] + [H]O[H] = [H]OC(=O)C(=O)C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H] + [H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(N2C([H])=C([H])C([H])([H])C(C(=O)N([H])[H])=C2[H])O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])[C@@]1([H])O[C@@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)[C@]([H])(O[H])[C@]1([H])O[H] + [H]N([H])[H] + [H+],298.15,0.25,7.0,14.0,36.98903322546594,,1,,11.151326550306273,
(R)-pantoate(aq) + NADP(ox) = 2-dehydropantoate(aq) + NADP(red)(aq),[H]OC(=O)[C@]([H])(O[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])O[H] + [H]O[C@@]1([H])[C@@]([H])(OP(=O)(O[H])O[H])[C@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])[C@@]1([H])O[C@@]([H])([n+]2c([H])c([H])c([H])c(C(=O)N([H])[H])c2[H])[C@]([H])(O[H])[C@]1([H])O[H] = [H]OC(=O)C(=O)C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])O[H] + [H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(N2C([H])=C([H])C([H])([H])C(C(=O)N([H])[H])=C2[H])O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])[C@@]1([H])O[C@@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)[C@]([H])(OP(=O)(O[H])O[H])[C@]1([H])O[H] + [H+],298.15,0.25,7.0,14.0,18.997110918462056,,1,,16.143503668931828,
"2-methylserine(aq) + tetrahydrofolate(aq) = 5,10-methylenetetrahydrofolate(aq) + D-alanine(aq) + H2O(l)",[H]OC(=O)[C@@](N([H])[H])(C([H])([H])[H])C([H])([H])O[H] + [H]OC(=O)C([H])([H])C([H])([H])[C@@]([H])(C(=O)O[H])N([H])C(=O)c1c([H])c([H])c(N([H])C([H])([H])[C@]2([H])N([H])c3c(nc(N([H])[H])n([H])c3=O)N([H])C2([H])[H])c([H])c1[H] = [H]OC(=O)C([H])([H])C([H])([H])C([H])(C(=O)O[H])N([H])C(=O)c1c([H])c([H])c(N2C([H])([H])N3c4c(nc(N([H])[H])n([H])c4=O)N([H])C([H])([H])[C@]3([H])C2([H])[H])c([H])c1[H] + [H]OC(=O)[C@]([H])(N([H])[H])C([H])([H])[H] + [H]O[H],298.15,0.25,7.0,14.0,-2.806992165216026,,1,,-2.840634005174574,
adenosine(aq) + H2O(l) = adenine(aq) + D-ribose(aq),[H]OC([H])([H])[C@@]1([H])O[C@@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)[C@]([H])(O[H])[C@]1([H])O[H] + [H]O[H] = [H]c1nc(N([H])[H])c2nc([H])n([H])c2n1 + [H]OC1([H])O[C@]([H])(C([H])([H])O[H])[C@@]([H])(O[H])[C@@]1([H])O[H],298.15,0.25,7.0,14.0,-9.836900457752444,,1,,-9.836900457752444,
"2-keto-L-gulonate(aq) + NADP(ox)(aq) = 2,5-diketo-D-gluconate(aq) + NADP(red)(aq)",[H]OC(=O)C(=O)[C@@]([H])(O[H])[C@]([H])(O[H])[C@@]([H])(O[H])C([H])([H])O[H] + [H]O[C@@]1([H])[C@@]([H])(OP(=O)(O[H])O[H])[C@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])[C@@]1([H])O[C@@]([H])([n+]2c([H])c([H])c([H])c(C(=O)N([H])[H])c2[H])[C@]([H])(O[H])[C@]1([H])O[H] = [H]OC(=O)C(=O)[C@@]([H])(O[H])[C@]([H])(O[H])C(=O)C([H])([H])O[H] + [H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(N2C([H])=C([H])C([H])([H])C(C(=O)N([H])[H])=C2[H])O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])[C@@]1([H])O[C@@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)[C@]([H])(OP(=O)(O[H])O[H])[C@]1([H])O[H] + [H+],298.15,0.25,7.0,14.0,29.96471770161425,0.0222366959143019,2,0.0157237184721861,16.282449745292688,1.5854961238654153
pantothenate + H2O = pantoic acid + beta-alanine,[H]OC(=O)C([H])([H])C([H])([H])N([H])C(=O)[C@]([H])(O[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])O[H] + [H]O[H] = [H]OC(=O)[C@]([H])(O[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])O[H] + [H]OC(=O)C([H])([H])C([H])([H])N([H])[H],298.15,0.25,7.0,14.0,6.251546769545137,0.2444440854702763,6,0.0997938800072427,6.887803626895187,0.6295704388268731
L-glutamine(aq) + pyruvate(aq) = 2-oxoglutaramate(aq) + L-alanine(aq),[H]OC(=O)[C@@]([H])(N([H])[H])C([H])([H])C([H])([H])C(=O)N([H])[H] + [H]OC(=O)C(=O)C([H])([H])[H] = [H]OC(=O)C(=O)C([H])([H])C([H])([H])C(=O)N([H])[H] + [H]OC(=O)[C@@]([H])(N([H])[H])C([H])([H])[H],298.15,0.25,7.0,14.0,-15.156099561888624,,1,,-15.023212586238005,
D-glucosamine 6-phosphate(aq) + H2O(l) = D-fructose 6-phosphate(aq) + ammonia(aq),[H]OC1([H])O[C@]([H])(C([H])([H])OP(=O)(O[H])O[H])[C@@]([H])(O[H])[C@]([H])(O[H])[C@@]1([H])N([H])[H] + [H]O[H] = [H]OC([H])([H])C1(O[H])O[C@]([H])(C([H])([H])OP(=O)(O[H])O[H])[C@@]([H])(O[H])[C@]1([H])O[H] + [H]N([H])[H],298.15,0.25,7.0,14.0,3.0278555520303696,0.1685701677131205,2,0.1191971086957011,4.889535553125678,0.0
"pyrophosphate(aq) + D-fructose 6-phosphate(aq) = orthophosphate(aq) + D-fructose 1,6-bisphosphate(aq)",[H]OP(=O)(O[H])OP(=O)(O[H])O[H] + [H]OC([H])([H])C1(O[H])O[C@]([H])(C([H])([H])OP(=O)(O[H])O[H])[C@@]([H])(O[H])[C@]1([H])O[H] = [H]OP(=O)(O[H])O[H] + [H]OC1(C([H])([H])OP(=O)(O[H])O[H])O[C@]([H])(C([H])([H])OP(=O)(O[H])O[H])[C@@]([H])(O[H])[C@]1([H])O[H],298.15,0.25,7.0,14.0,16.88709741352234,,1,,12.67552679213567,
"urocanate(aq) + H2O(l) = 4,5-dihydro-4-oxo-5-imidazolepropanoate(aq)",[H]OC(=O)/C([H])=C(\[H])c1nc([H])n([H])c1[H] + [H]O[H] = [H]OC(=O)C([H])([H])C([H])([H])C1([H])C(=O)N=C([H])N1[H],298.15,0.25,7.0,14.0,-9.750833670428394,1.1331795327078142,5,0.5067732931692238,-9.919147096644163,1.2777873384187337
"D-fructose 1,6-bisphosphate(aq) + H2O(l) = D-fructose 6-phosphate(aq) + orthophosphate(aq)",[H]OC1(C([H])([H])OP(=O)(O[H])O[H])O[C@]([H])(C([H])([H])OP(=O)(O[H])O[H])[C@@]([H])(O[H])[C@]1([H])O[H] + [H]O[H] = [H]OC([H])([H])C1(O[H])O[C@]([H])(C([H])([H])OP(=O)(O[H])O[H])[C@@]([H])(O[H])[C@]1([H])O[H] + [H]OP(=O)(O[H])O[H],298.15,0.25,7.0,14.0,-9.87561426457115,4.894330675130592,6,1.9981021310869087,-9.810958123791332,4.42283010476473
ATP(aq) + pyruvate(aq) = ADP(aq) + phosphoenolpyruvate(aq),[H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OP(=O)(O[H])O[H] + [H]OC(=O)C(=O)C([H])([H])[H] = [H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])O[H] + [H]OC(=O)C(OP(=O)(O[H])O[H])=C([H])[H],298.15,0.25,7.0,14.0,23.447815693315835,2.1471624183169578,18,0.5060910354336091,18.115116542635704,2.4642436431855583
",-trehalose 6-phosphate(aq) + orthophosphate(aq) =-D-glucose 1-phosphate(aq) + D-glucose 6-phosphate(aq)",[H]OC([H])([H])[C@@]1([H])O[C@]([H])(O[C@@]2([H])O[C@]([H])(C([H])([H])OP(=O)(O[H])O[H])[C@@]([H])(O[H])[C@]([H])(O[H])[C@@]2([H])O[H])[C@]([H])(O[H])[C@@]([H])(O[H])[C@]1([H])O[H] + [H]OP(=O)(O[H])O[H] = [H]OC([H])([H])[C@@]1([H])O[C@]([H])(OP(=O)(O[H])O[H])[C@]([H])(O[H])[C@@]([H])(O[H])[C@]1([H])O[H] + [H]OC1([H])O[C@]([H])(C([H])([H])OP(=O)(O[H])O[H])[C@@]([H])(O[H])[C@]([H])(O[H])[C@@]1([H])O[H],298.15,0.25,7.0,14.0,8.521137326441323,0.7281548412201464,2,0.5148832259805792,9.079924042019176,0.375974066419358
