description,reaction,T,I,pH,pMg,standard_dg_prime,std,n,SEM,type,nontrans_standard_dg_prime,nontrans_std,all standard_dg_prime,all nontrans_standard_dg_prime
coniferyl alcohol(aq) + NADP(aq) = coniferyl aldehyde(aq) + NADPH(aq),[H]Oc1c([H])c([H])c(/C([H])=C(\[H])C([H])([H])O[H])c([H])c1OC([H])([H])[H] + [H]O[C@@]1([H])[C@@]([H])(OP(=O)(O[H])O[H])[C@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])[C@@]1([H])O[C@@]([H])([n+]2c([H])c([H])c([H])c(C(=O)N([H])[H])c2[H])[C@]([H])(O[H])[C@]1([H])O[H] = [H]Oc1c([H])c([H])c(/C([H])=C(\[H])C([H])=O)c([H])c1OC([H])([H])[H] + [H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(N2C([H])=C([H])C([H])([H])C(C(=O)N([H])[H])=C2[H])O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])[C@@]1([H])O[C@@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)[C@]([H])(OP(=O)(O[H])O[H])[C@]1([H])O[H] + [H+],298.15,0.25,7.0,14.0,9.758896945276312,0.12662474545556618,3,0.07310683087483898,reaction dg,2.0153222549552576,3.0784009673648396,"[9.720526662375288, 9.655895274000333, 9.900268899453314]","[3.206825215814444, 4.319879902286122, -1.480738353234793]"
"cyclohexa-1,5-diene-1-carboxyl-CoA(aq) + H2O(l) = 6-hydroxycyclohex-1-ene-carboxyl-CoA(aq)",[H]O[C@]1([H])[C@]([H])(OP(=O)(O[H])O[H])[C@@]([H])(C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])C(C([H])([H])[H])(C([H])([H])[H])[C@@]([H])(O[H])C(=O)N([H])C([H])([H])C([H])([H])C(=O)N([H])C([H])([H])C([H])([H])SC(=O)C2=C([H])C([H])([H])C([H])([H])C([H])=C2[H])O[C@@]1([H])n1c([H])nc2c(N([H])[H])nc([H])nc21 + [H]O[H] = [H]OC1([H])C(C(=O)SC([H])([H])C([H])([H])N([H])C(=O)C([H])([H])C([H])([H])N([H])C(=O)[C@]([H])(O[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])[C@@]2([H])O[C@@]([H])(n3c([H])nc4c(N([H])[H])nc([H])nc43)[C@]([H])(O[H])[C@]2([H])OP(=O)(O[H])O[H])=C([H])C([H])([H])C([H])([H])C1([H])[H],298.15,0.25,7.0,14.0,-5.858851181983482e-09,,1,,reaction dg,0.0,,[-5.858851181983482e-09],[-0.0]
cyclohexanol(aq) + NAD(aq) = cyclohexanone(aq) + NADH(aq),[H]OC1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H] + [H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])[C@@]1([H])O[C@@]([H])([n+]2c([H])c([H])c([H])c(C(=O)N([H])[H])c2[H])[C@]([H])(O[H])[C@]1([H])O[H] = [H]C1([H])C(=O)C([H])([H])C([H])([H])C([H])([H])C1([H])[H] + [H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(N2C([H])=C([H])C([H])([H])C(C(=O)N([H])[H])=C2[H])O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])[C@@]1([H])O[C@@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)[C@]([H])(O[H])[C@]1([H])O[H] + [H+],298.15,0.25,7.0,14.0,7.787924382955068,1.2853846406710745,4,0.6426923203355372,reaction dg,1.80749343805381,6.124967291289813,"[9.691451041723486, 7.106908770461614, 7.423831143737761, 6.929506575897409]","[3.9875860219514054, 5.965989850554506, 4.571617922125046, -7.2952200424157185]"
cytidine(aq) + H2O(l) = uridine(aq) + ammonia(aq),[H]OC([H])([H])[C@@]1([H])O[C@@]([H])(n2c([H])c([H])c(N([H])[H])nc2=O)[C@]([H])(O[H])[C@]1([H])O[H] + [H]O[H] = [H]OC([H])([H])[C@@]1([H])O[C@@]([H])(n2c([H])c([H])c(=O)n([H])c2=O)[C@]([H])(O[H])[C@]1([H])O[H] + [H]N([H])[H],298.15,0.25,7.0,14.0,-22.367421923122645,0.9127168795966354,7,0.34497455440336855,reaction dg,-17.26583740841763,3.1573172283738717,"[-22.610048654424133, -21.380156525951183, -21.089122918686442, -23.540500243545633, -23.08891226225841, -22.893019051369954, -21.97019380562279]","[-14.710997046421651, -15.075116985069489, -19.3147004430558, -18.65239428598569, -15.938422846683045, -22.893019051369954, -14.276211200337807]"
"dTDP-4-amino-4,6-dideoxy-D-glucose(aq) + 2-oxoglutarate(aq) = dTDP-4-dehydro-6-deoxy-D-glucose(aq) + L-glutamate(aq)",[H]O[C@@]1([H])[C@@]([H])(OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])[C@@]2([H])O[C@@]([H])(n3c([H])c(C([H])([H])[H])c(=O)n([H])c3=O)C([H])([H])[C@]2([H])O[H])O[C@]([H])(C([H])([H])[H])[C@@]([H])(N([H])[H])[C@]1([H])O[H] + [H]OC(=O)C(=O)C([H])([H])C([H])([H])C(=O)O[H] = [H]O[C@@]1([H])[C@@]([H])(OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])[C@@]2([H])O[C@@]([H])(n3c([H])c(C([H])([H])[H])c(=O)n([H])c3=O)C([H])([H])[C@]2([H])O[H])O[C@]([H])(C([H])([H])[H])C(=O)[C@]1([H])O[H] + [H]OC(=O)C([H])([H])C([H])([H])[C@@]([H])(C(=O)O[H])N([H])[H],298.15,0.25,7.0,14.0,-1.6410691422122898,,1,,reaction dg,-1.7864804598010426,,[-1.6410691422122898],[-1.7864804598010426]
dTTP(aq) + D-glucose 1-phosphate(aq) = dTDPglucose(aq) + pyrophosphate(aq),[H]O[C@@]1([H])C([H])([H])[C@]([H])(n2c([H])c(C([H])([H])[H])c(=O)n([H])c2=O)O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OP(=O)(O[H])O[H] + [H]OC([H])([H])[C@@]1([H])O[C@]([H])(OP(=O)(O[H])O[H])[C@]([H])(O[H])[C@@]([H])(O[H])[C@]1([H])O[H] = [H]OC([H])([H])[C@@]1([H])O[C@]([H])(OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])[C@@]2([H])O[C@@]([H])(n3c([H])c(C([H])([H])[H])c(=O)n([H])c3=O)C([H])([H])[C@]2([H])O[H])[C@]([H])(O[H])[C@@]([H])(O[H])[C@]1([H])O[H] + [H]OP(=O)(O[H])OP(=O)(O[H])O[H],298.15,0.25,7.0,14.0,-2.08124439629216,,1,,reaction dg,0.9922338316565521,,[-2.08124439629216],[0.9922338316565521]
dihydro--lipoate(aq) + NAD(aq) =-lipoate(aq) + NADH(aq),[H]OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C@@]([H])(S[H])C([H])([H])C([H])([H])S[H] + [H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])[C@@]1([H])O[C@@]([H])([n+]2c([H])c([H])c([H])c(C(=O)N([H])[H])c2[H])[C@]([H])(O[H])[C@]1([H])O[H] = [H]OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])SSC([H])([H])C1([H])[H] + [H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(N2C([H])=C([H])C([H])([H])C(C(=O)N([H])[H])=C2[H])O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])[C@@]1([H])O[C@@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)[C@]([H])(O[H])[C@]1([H])O[H] + [H+],298.15,0.25,7.0,14.0,5.369774299094481,1.169279250078291,58,0.15353388734467183,reaction dg,3.1618066876458197,2.970784069861885,"[6.5940131898968986, 5.145942020057678, 3.9696948046051306, 5.715547577214005, 4.162418096579334, 4.425027002161173, 3.7291455800204525, 3.7586028300379755, 3.6927263104334638, 4.64251766516917, 3.8077803820378096, 3.5171457941141777, 4.712049412226578, 3.585670813028023, 5.137577308062146, 5.287045557127373, 6.056511606159737, 5.786289396770314, 6.402015410449272, 5.679651937036863, 5.201163796706322, 7.705876992990401, 5.619682591373466, 5.044684089560871, 5.044684089560871, 6.304791147108109, 6.255988960562388, 6.364132111393678, 6.092909815975197, 5.724630121058318, 6.464235907472443, 6.048268218916915, 6.734276102753311, 5.51187342598088, 6.2061201483744775, 6.051731983139852, 3.440308038664809, 6.61381190314146, 3.408136014311376, 5.282698600955998, 5.814352001696409, 7.082837217063686, 3.54761358741211, 4.178281353704458, 6.445978527258006, 6.445978527258006, 4.0339856623375905, 6.328658533007586, 8.08279238375414, 6.823363256996387, 4.003496533888409, 3.7159711463050944, 5.407016536030811, 5.094021457392287, 5.915597263680887, 5.256864399424014, 6.640309430107397, 5.702414776973926]","[12.761397516401146, 5.00404248535418, 3.8277952699016327, -4.859651022143003, 4.906943232152887, 5.054905190609347, 3.271722196579129, 3.244038930924748, 1.353905941770527, 2.531270204643296, 2.608156180866364, 2.7170006152856483, 4.540452397991602, 3.299718274114489, 7.69473183338921, 5.065289160013878, 5.295276805391089, 4.90530062020008, 5.102227738229536, 4.200532275473859, 3.4830697338435748, 5.569930961539061, 3.424078813982068, 2.789431213189129, 2.789431213189129, 3.513077689605599, 3.404710509936206, 3.0366311981805203, 2.468040014126594, 1.8026038794501815, 1.1783000201506588, -3.2758913061164225, -3.2758913061164225, 3.375927394529541, 2.9381180831210503, -2.231137021310652, 2.7543712558943545, -1.8434433048569407, 5.7049458449070105, 6.989191535679199, 4.3352323401334045, -3.4923613822933235, 3.033049688298883, 3.0927544206762807, 6.284227300464607, 6.284227300464607, 3.40516510262828, 5.02887086078785, 5.827539507382399, -2.6156524726873873, 2.006087094257481, 2.6875047133560774, 5.065289160013878, 3.375927394529541, 2.707102343694508, 2.88233904640256, 1.2360363759409734, 5.120896819333796]"
dihydrolipoamide(aq) + NAD(aq) = lipoamide(aq) + NADH(aq),[H]SC([H])([H])C([H])([H])C([H])(S[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)N([H])[H] + [H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])[C@@]1([H])O[C@@]([H])([n+]2c([H])c([H])c([H])c(C(=O)N([H])[H])c2[H])[C@]([H])(O[H])[C@]1([H])O[H] = [H]N([H])C(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])SSC([H])([H])C1([H])[H] + [H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(N2C([H])=C([H])C([H])([H])C(C(=O)N([H])[H])=C2[H])O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])[C@@]1([H])O[C@@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)[C@]([H])(O[H])[C@]1([H])O[H] + [H+],298.15,0.25,7.0,14.0,4.56420278441651,1.5174826119560405,10,0.4798701363482548,reaction dg,0.6727692724932343,3.324324949253599,"[1.4178932840328526, 3.014741946368236, 4.812935890496071, 4.648550952262781, 5.262191682051492, 5.086023350211568, 6.9757030602147, 5.157192902901099, 3.790879045345258, 5.475915730281043]","[6.164377134522961, 4.205880102786569, 1.056579750559756, -0.0, -3.141741959496345, 2.505800439042324, -3.847338771711575, -2.343579576928735, 3.122198457686403, -0.9944828515290163]"
diphosphate(aq) + oxaloacetate(aq) + H2O(l) = phosphate(aq) + phosphoenolpyruvate(aq) + carbon dioxide(aq),[H]OP(=O)(O[H])OP(=O)(O[H])O[H] + [H]OC(=O)C(=O)C([H])([H])C(=O)O[H] + [H]O[H] = [H]OP(=O)(O[H])O[H] + [H]OC(=O)C(OP(=O)(O[H])O[H])=C([H])[H] + [H]OC(=O)O[H],298.15,0.25,7.0,14.0,9.999739330161555,,1,,reaction dg,10.759851035516357,,[9.999739330161555],[10.759851035516357]
erythro-3-hydroxyaspartate(aq) + 2-oxoglutarate(aq) = 2-oxo-3-hydroxybutanedioic acid(aq) + L-glutamate(aq),[H]OC(=O)[C@@]([H])(O[H])[C@]([H])(C(=O)O[H])N([H])[H] + [H]OC(=O)C(=O)C([H])([H])C([H])([H])C(=O)O[H] = [H]OC(=O)C(=O)C([H])(O[H])C(=O)O[H] + [H]OC(=O)C([H])([H])C([H])([H])[C@@]([H])(C(=O)O[H])N([H])[H],298.15,0.25,7.0,14.0,-6.274805636614621,,1,,reaction dg,-6.25991843683966,,[-6.274805636614621],[-6.25991843683966]
erythrulose 1-phosphate(aq) = formaldehyde(aq) + glycerone phosphate(aq),[H]OC([H])([H])[C@]([H])(O[H])C(=O)C([H])([H])OP(=O)(O[H])O[H] = [H]C([H])=O + [H]OC([H])([H])C(=O)C([H])([H])OP(=O)(O[H])O[H],298.15,0.25,7.0,14.0,19.393465276186433,,1,,reaction dg,19.39913065904709,,[19.393465276186433],[19.39913065904709]
estradiol-17(aq) + NAD(aq) = estrone(aq) + NADH(aq),[H]Oc1c([H])c([H])c2c(c1[H])C([H])([H])C([H])([H])[C@@]1([H])[C@]3([H])C([H])([H])C([H])([H])[C@]([H])(O[H])[C@@]3(C([H])([H])[H])C([H])([H])C([H])([H])[C@]21[H] + [H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])[C@@]1([H])O[C@@]([H])([n+]2c([H])c([H])c([H])c(C(=O)N([H])[H])c2[H])[C@]([H])(O[H])[C@]1([H])O[H] = [H]Oc1c([H])c([H])c2c(c1[H])C([H])([H])C([H])([H])[C@@]1([H])[C@]3([H])C([H])([H])C([H])([H])C(=O)[C@@]3(C([H])([H])[H])C([H])([H])C([H])([H])[C@]21[H] + [H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(N2C([H])=C([H])C([H])([H])C(C(=O)N([H])[H])=C2[H])O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])[C@@]1([H])O[C@@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)[C@]([H])(O[H])[C@]1([H])O[H] + [H+],298.15,0.25,7.0,14.0,4.215949327703521,0.056980811825400726,4,0.028490405912700363,reaction dg,-4.308788739761615,7.365053416113352,"[4.248630027598901, 4.236761176835321, 4.247549223322152, 4.130856883057712]","[4.248630027598901, -7.16126166221512, -1.4563158173081099, -12.866207507122132]"
ethanol(aq) + AP-NAD(aq) = acetaldehyde(aq) + AP-NADH(aq),[H]OC([H])([H])C([H])([H])[H] + [H]OC1([H])C([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)OC([H])(C([H])([H])OP(=O)(O[H])OP(=O)([O-])OC([H])([H])C2([H])OC([H])([n+]3c([H])c([H])c([H])c(C(=O)C([H])([H])[H])c3[H])C([H])(O[H])C2([H])O[H])C1([H])O[H] = [H]C(=O)C([H])([H])[H] + [H]OC1([H])C([H])(N2C([H])=C([H])C([H])([H])C(C(=O)C([H])([H])[H])=C2[H])OC([H])(C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])C2([H])OC([H])(n3c([H])nc4c(N([H])[H])nc([H])nc43)C([H])(O[H])C2([H])O[H])C1([H])O[H],298.15,0.25,7.0,14.0,5.933131797668117,4.1019345445417015,2,2.900505732428789,reaction dg,5.933329123057454,4.10165650355332,"[8.833637530096906, 3.0326260652393278]","[8.833638250817911, 3.0330199952969967]"
ethanol(aq) + NAD(aq) = acetaldehyde(aq) + NADH(aq),[H]OC([H])([H])C([H])([H])[H] + [H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])[C@@]1([H])O[C@@]([H])([n+]2c([H])c([H])c([H])c(C(=O)N([H])[H])c2[H])[C@]([H])(O[H])[C@]1([H])O[H] = [H]C(=O)C([H])([H])[H] + [H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(N2C([H])=C([H])C([H])([H])C(C(=O)N([H])[H])=C2[H])O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])[C@@]1([H])O[C@@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)[C@]([H])(O[H])[C@]1([H])O[H] + [H+],298.15,0.25,7.0,14.0,21.110274531763675,5.094943347159617,80,0.5696319832879607,reaction dg,15.842328378718516,8.665077465443536,"[21.53520598802368, 21.63686242703062, 21.90825665423654, 22.600658760397952, 23.753746708141357, 21.935866914650855, 23.842525620741828, 22.687056822922845, 22.68815578428921, 22.28079993090576, 22.085201508378027, 22.037371385114607, 22.26278162633859, 21.834465262548186, 22.05992509974886, 22.16396279834851, 24.45181100198206, 24.39277461168962, 26.162722974566478, 24.370772399343636, 24.893490626842212, 33.77686951314444, 22.898365943372607, 23.032280256621853, 23.355691696434498, 23.462944073096597, 23.54100117336564, 24.08037557998901, 24.7662310505373, 24.827842131433577, 22.680347431524034, 24.425046683114793, 24.230384642752377, 24.791558125982807, 25.874904767093028, 22.191064356413822, 22.278090807108025, 22.210458396424286, 22.514107616807586, 22.289760684968964, 21.95730915633385, 21.774708091074217, 21.65550248561231, 21.35593912169684, 21.761296557926826, 22.8774343463518, 23.408682568154607, 23.981945089745285, 21.775124856887725, 22.325194185704632, 23.46481599301079, 24.03817346980192, 21.790950529923954, 22.317653193791436, 22.87827774965425, 23.953778385361367, 23.953778385361367, 21.952047649968993, 22.310983638738918, 22.90440722419904, 23.40080973727186, 22.32625689566543, 22.470943587804246, 22.46163656687282, 22.43356517283179, 22.467527225142984, 22.47242465184421, 6.688214896050703, 8.903412645463554, 9.66925816585091, 10.541444288672885, 10.741482556155237, 11.747957127156093, 11.435830641124467, 7.951898342895304, 10.195809112354791, 10.425685528796873, 8.750681433368907, 9.55488586788439, 22.932495582159756]","[22.204910847940344, 11.099690296221922, 5.865939710515022, 17.662152895982306, 20.36621150796099, 17.55804557048955, 22.10129298495882, 16.21783266885217, 22.018450924373088, 23.13650672846528, 21.229509182119337, 20.097832459998283, 18.783133843517998, 15.161334684562467, 17.667703910761226, 26.157328747281785, 27.87468857023739, 24.39277461168962, 22.16974272533038, 29.790364326856704, 23.4673476454137, 28.073004503901096, 21.135550402846274, 21.30746183440784, 20.723218427945547, 20.897159099661113, 20.612686389949726, 19.232292229467475, 18.948558671875844, 19.149192885429777, 20.857822421632356, 19.77713939277023, 19.505939100682504, 19.215665916934984, 14.476881997914063, 17.25255849199812, 11.740918676299327, 6.168141452702712, 23.183812476724135, 22.959465544885543, 22.62701401625057, 22.444412950990824, 22.325207345529, 22.025643981613417, 23.100706277760153, 22.877434346351603, 22.738977708238398, 22.6425353699123, 17.60197813729958, 17.38668832128893, 16.99559183894006, 16.80359017090349, 12.114629037485011, 11.780481062982735, 11.480254980475056, 10.834054339442211, 10.834054339442211, 22.62175250988557, 22.980688498655525, 17.200542214955526, 11.141936329723084, 22.995961755582037, 19.618730372407786, 11.063613797693856, 8.208838682593765, 13.913784527500777, 16.768559642600867, -3.5732378763537787, -1.3580401269409272, -0.5921946065535729, -1.4035890159880824, -1.2035507485057302, -0.19707617750487408, -0.5092026635365012, -2.309554429509178, -1.7492241923061753, -1.5193477758640943, -1.5107713390355753, -0.7065669045200912, 20.650698836038483]"
formate(aq) + NAD(aq) + H2O(l) = carbon dioxide(aq) + NADH(aq),[H]OC([H])=O + [H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])[C@@]1([H])O[C@@]([H])([n+]2c([H])c([H])c([H])c(C(=O)N([H])[H])c2[H])[C@]([H])(O[H])[C@]1([H])O[H] + [H]O[H] = [H]OC(=O)O[H] + [H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(N2C([H])=C([H])C([H])([H])C(C(=O)N([H])[H])=C2[H])O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])[C@@]1([H])O[C@@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)[C@]([H])(O[H])[C@]1([H])O[H] + [H+],298.15,0.25,7.0,14.0,-18.491381915984096,,1,,reaction dg,-14.965495139410766,,[-18.491381915984096],[-14.965495139410766]
formate(aq) + NADP(aq) + H2O(l) = carbon dioxide(aq) + NADPH(aq),[H]OC([H])=O + [H]O[C@@]1([H])[C@@]([H])(OP(=O)(O[H])O[H])[C@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])[C@@]1([H])O[C@@]([H])([n+]2c([H])c([H])c([H])c(C(=O)N([H])[H])c2[H])[C@]([H])(O[H])[C@]1([H])O[H] + [H]O[H] = [H]OC(=O)O[H] + [H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(N2C([H])=C([H])C([H])([H])C(C(=O)N([H])[H])=C2[H])O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])[C@@]1([H])O[C@@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)[C@]([H])(OP(=O)(O[H])O[H])[C@]1([H])O[H] + [H+],298.15,0.25,7.0,14.0,-11.690386492458366,,1,,reaction dg,-17.662227576131492,,[-11.690386492458366],[-17.662227576131492]
formyl-CoA(aq) + orthophosphate(aq) =  CoA(aq) + formyl phosphate(aq),[H]O[C@]1([H])[C@]([H])(OP(=O)(O[H])O[H])[C@@]([H])(C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])C(C([H])([H])[H])(C([H])([H])[H])[C@@]([H])(O[H])C(=O)N([H])C([H])([H])C([H])([H])C(=O)N([H])C([H])([H])C([H])([H])SC([H])=O)O[C@@]1([H])n1c([H])nc2c(N([H])[H])nc([H])nc21 + [H]OP(=O)(O[H])O[H] = [H]O[C@]1([H])[C@]([H])(OP(=O)(O[H])O[H])[C@@]([H])(C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])C(C([H])([H])[H])(C([H])([H])[H])[C@@]([H])(O[H])C(=O)N([H])C([H])([H])C([H])([H])C(=O)N([H])C([H])([H])C([H])([H])S[H])O[C@@]1([H])n1c([H])nc2c(N([H])[H])nc([H])nc21 + [H]OP(=O)(O[H])OC([H])=O,298.15,0.25,7.0,14.0,4.672342938198789,,1,,reaction dg,4.952985304122316,,[4.672342938198789],[4.952985304122316]
fumarate(aq) + H2O(l) = (S)-malate(aq),[H]OC(=O)/C([H])=C(\[H])C(=O)O[H] + [H]O[H] = [H]OC(=O)C([H])([H])[C@]([H])(O[H])C(=O)O[H],298.15,0.25,7.0,14.0,-3.5121068263029946,0.4870322470966135,103,0.04798871324744399,reaction dg,-3.75691585360903,0.618238027242254,"[-4.545226719714915, -3.608621411771524, -4.765227796834936, -4.397459901368888, -4.021432874356034, -3.5268618818427457, -2.2030961670478573, -3.682238102429822, -3.2355900174928243, -3.123804252844466, -2.808979190399323, -4.077839740970726, -4.008383444456071, -4.010583827646005, -3.8403704564525283, -3.7961156626578467, -3.704514196812296, -3.729585501081702, -3.55585914231326, -3.4463068035804754, -3.344136917931839, -3.2924667485265147, -3.190512335030582, -2.993976385522482, -2.908715661569556, -2.9247864477618024, -3.4344659332567242, -3.371895052567973, -3.8804505825551, -4.01498459402577, -3.9262147848991438, -3.6149542752518955, -3.6149542752518955, -3.284535449655511, -3.0640904301412015, -3.5732496975568955, -3.633595361939826, -3.6670030929898476, -3.788696710867917, -2.5534014542982115, -2.8195077889800526, -2.43685357591676, -3.520177191512946, -3.666243229776546, -3.713778811802063, -3.0687528407377247, -3.6313992559888124, -3.621303688514225, -3.5761895911253405, -3.5983679558350072, -3.9549749954960136, -3.987167418106409, -3.9504300466481213, -3.9211111156834555, -4.10700353962324, -4.158807898564551, -4.128841463195852, -4.433528470700541, -4.433528470700541, -4.480997956815094, -3.0231179353297213, -3.0369328008959915, -3.1015593293789125, -3.199790757857346, -3.060944121225698, -2.867986179170953, -3.6154436867295003, -3.085426167062826, -3.534481577177459, -3.4502238419451974, -3.8284121653751573, -3.1510691455879627, -3.93540667094003, -3.6432933083515735, -3.603915803766285, -4.175901346525733, -3.154882995510823, -4.035064095819139, -2.9078092392378494, -2.9078092392378494, -3.467850041771271, -3.8586472437731194, -3.7063759658243, -3.8988498926343236, -2.955024150067917, -3.5114691409229404, -2.788909627318879, -2.964416806811683, -3.6988587506495296, -2.6080891233845414, -3.6239851657988673, -3.147333975190245, -3.0917097461403693, -2.868478616347946, -3.497031161364382, -3.7313054403603685, -3.300024163568766, -3.7035079350306765, -3.5520296789310852, -2.7804532618382156, -3.598015995881455, -3.157429854429268, -3.543588374644031]","[-4.52055167654191, -3.5849248154760867, -4.919251163040202, -4.482079915348548, -4.036649536110044, -3.451854185703408, -2.017043107347473, -3.7016504099114664, -3.184558344047317, -3.0023285984717214, -2.6170595550994404, -4.221987072820747, -4.238826035040119, -4.240356849787335, -4.023273687606372, -3.9649579565154407, -3.8592955533736966, -3.786495358570805, -3.6858664664955048, -3.544174842514144, -3.4286135880119324, -3.348151975571433, -3.2461975620755004, -3.003461390022546, -2.9128441185281813, -2.92221922029364, -3.421726516860921, -3.4530238804346793, -4.07473647723451, -4.2434184792817655, -4.016190459283123, -3.6409088999033004, -3.6409088999033004, -3.2408408004219105, -2.983108795898483, -3.6972309057549984, -3.6139032335384234, -3.6539119125844794, -3.7756055304625487, -5.575250817955095, -4.294776971085254, -3.8131054582149804, -3.7099692020033106, -3.642546633481123, -3.6876982520487096, -2.951187749504948, -3.55112114976521, -3.5424326383286844, -3.4973185409398, -3.5209039616875852, -3.9000238979577917, -3.932216320568187, -3.898996589205082, -3.9421410442014597, -4.142807556541148, -4.197426027558611, -4.167459592189911, -4.563605242169732, -4.563605242169732, -4.611074728284286, -4.689447823916793, -4.705835026788515, -4.770461555271436, -4.8689787990060465, -4.7298463471182215, -4.530600469427793, -3.602352506324118, -2.967861075830049, -3.7539193832604525, -3.365724567607268, -3.843813869740858, -4.820257186736663, -3.922315490534662, -3.6196584660914084, -3.524341225561671, -4.211705363443641, -4.842220305426187, -3.9836306383760993, -4.552845891240331, -4.552845891240331, -3.682099093733555, -3.87404894813882, -3.6932847854189603, -3.9191762931333396, -4.621354038654989, -3.426969866585011, -2.8031918535863047, -2.958093946832718, -3.6988587506495296, -2.4183941864713283, -3.6488348086284326, -3.064559615722667, -2.9716538695371804, -2.7139549220155064, -3.481785587651877, -3.7878092015127107, -3.2531244715335834, -3.6876982520487096, -3.531893924168678, -2.6019713202367827, -3.5849248154760867, -3.054179562918805, -3.51995353238388]"
